grid_id,latitude,longitude,x,y,ward_id,ward_name,lst_c,ndvi,ndbi,tree_canopy_pct,built_pct,albedo,road_density,distance_green_m,elevation_m,population_density,data_label
DEMO_G_0001,18.5417285,73.8416288,377745,2050515,DEMO_WARD_01,DEMO Ward 01,34.801,0.3176,0.2777,29.26,59.81,0.2319,6.672,445.87,555.52,13199.59,DEMO / SYNTHETIC DATA
DEMO_G_0002,18.5417303,73.841913,377775,2050515,DEMO_WARD_01,DEMO Ward 01,37.101,0.1033,0.1715,18.99,82.06,0.2144,5.647,466.41,551.72,16047.57,DEMO / SYNTHETIC DATA
DEMO_G_0003,18.541732,73.8421973,377805,2050515,DEMO_WARD_01,DEMO Ward 01,36.572,0.1342,0.3334,15.8,56.96,0.1254,6.818,349.16,554.14,10580.28,DEMO / SYNTHETIC DATA
DEMO_G_0004,18.5417338,73.8424815,377835,2050515,DEMO_WARD_01,DEMO Ward 01,38.331,0.0495,0.3687,20.24,77.99,0.2381,6.577,462.17,556.35,18346.84,DEMO / SYNTHETIC DATA
DEMO_G_0005,18.5417355,73.8427657,377865,2050515,DEMO_WARD_01,DEMO Ward 01,38.821,0.0822,0.3601,26.02,67.16,0.2244,5.434,540.18,558.0,11210.37,DEMO / SYNTHETIC DATA
DEMO_G_0006,18.5417372,73.8430499,377895,2050515,DEMO_WARD_01,DEMO Ward 01,41.405,0.0727,0.3588,0.37,76.34,0.1804,9.447,576.49,560.53,18002.06,DEMO / SYNTHETIC DATA
DEMO_G_0007,18.541739,73.8433341,377925,2050515,DEMO_WARD_01,DEMO Ward 01,36.319,0.1925,0.364,14.01,58.49,0.1735,4.226,119.14,554.84,13709.61,DEMO / SYNTHETIC DATA
DEMO_G_0008,18.5417407,73.8436183,377955,2050515,DEMO_WARD_01,DEMO Ward 01,37.388,0.0833,0.3201,5.81,73.6,0.1904,6.776,232.39,558.07,11134.46,DEMO / SYNTHETIC DATA
DEMO_G_0009,18.5417425,73.8439025,377985,2050515,DEMO_WARD_01,DEMO Ward 01,38.223,0.1631,0.2609,16.81,63.15,0.2024,5.795,451.11,547.63,15427.05,DEMO / SYNTHETIC DATA
DEMO_G_0010,18.5417442,73.8441867,378015,2050515,DEMO_WARD_01,DEMO Ward 01,35.26,0.0621,0.331,20.52,77.82,0.2857,6.304,375.65,554.2,19268.24,DEMO / SYNTHETIC DATA
DEMO_G_0011,18.5417459,73.8444709,378045,2050515,DEMO_WARD_01,DEMO Ward 01,40.211,0.0958,0.2122,25.01,70.48,0.1378,6.519,412.82,550.98,19213.78,DEMO / SYNTHETIC DATA
DEMO_G_0012,18.5417477,73.8447551,378075,2050515,DEMO_WARD_01,DEMO Ward 01,35.45,0.2205,0.2783,21.77,68.84,0.2462,6.265,367.28,556.65,18960.87,DEMO / SYNTHETIC DATA
DEMO_G_0013,18.5417494,73.8450393,378105,2050515,DEMO_WARD_01,DEMO Ward 01,35.931,0.171,0.1514,23.58,56.21,0.1731,4.387,332.74,556.52,12510.91,DEMO / SYNTHETIC DATA
DEMO_G_0014,18.5417512,73.8453235,378135,2050515,DEMO_WARD_01,DEMO Ward 01,41.633,0.0628,0.4001,11.69,81.62,0.1703,7.885,403.96,554.68,19060.14,DEMO / SYNTHETIC DATA
DEMO_G_0015,18.5417529,73.8456078,378165,2050515,DEMO_WARD_01,DEMO Ward 01,36.78,0.1079,0.2799,8.95,64.17,0.1513,8.929,443.05,551.45,13859.08,DEMO / SYNTHETIC DATA
DEMO_G_0016,18.5417546,73.845892,378195,2050515,DEMO_WARD_01,DEMO Ward 01,39.208,0.0945,0.288,19.48,75.73,0.2344,8.378,588.5,558.43,13740.63,DEMO / SYNTHETIC DATA
DEMO_G_0017,18.5417564,73.8461762,378225,2050515,DEMO_WARD_01,DEMO Ward 01,39.111,0.1363,0.3191,12.42,73.52,0.2198,8.801,405.66,559.8,14230.26,DEMO / SYNTHETIC DATA
DEMO_G_0018,18.5417581,73.8464604,378255,2050515,DEMO_WARD_01,DEMO Ward 01,35.505,0.041,0.4448,29.03,59.83,0.1333,8.941,419.62,549.34,20543.22,DEMO / SYNTHETIC DATA
DEMO_G_0019,18.5417598,73.8467446,378285,2050515,DEMO_WARD_01,DEMO Ward 01,34.894,0.1149,0.2784,8.58,66.93,0.1862,5.765,485.23,553.58,12544.76,DEMO / SYNTHETIC DATA
DEMO_G_0020,18.5417616,73.8470288,378315,2050515,DEMO_WARD_01,DEMO Ward 01,37.187,0.1392,0.3225,15.31,72.78,0.1478,7.576,347.21,555.63,16550.4,DEMO / SYNTHETIC DATA
DEMO_G_0021,18.5417633,73.847313,378345,2050515,DEMO_WARD_02,DEMO Ward 02,37.525,0.3969,0.4029,44.62,70.86,0.1506,4.873,497.92,549.64,15986.08,DEMO / SYNTHETIC DATA
DEMO_G_0022,18.541765,73.8475972,378375,2050515,DEMO_WARD_02,DEMO Ward 02,36.081,0.1795,0.1428,17.91,64.09,0.144,6.253,251.55,557.19,11945.3,DEMO / SYNTHETIC DATA
DEMO_G_0023,18.5417668,73.8478814,378405,2050515,DEMO_WARD_02,DEMO Ward 02,39.678,0.0854,0.4093,15.2,85.87,0.236,7.768,544.75,551.7,15703.46,DEMO / SYNTHETIC DATA
DEMO_G_0024,18.5417685,73.8481656,378435,2050515,DEMO_WARD_02,DEMO Ward 02,39.399,0.107,0.2872,3.8,80.47,0.1706,7.062,231.55,553.73,12321.94,DEMO / SYNTHETIC DATA
DEMO_G_0025,18.5417702,73.8484498,378465,2050515,DEMO_WARD_02,DEMO Ward 02,32.839,0.285,0.166,33.35,57.88,0.2065,6.36,357.74,557.12,12295.91,DEMO / SYNTHETIC DATA
DEMO_G_0026,18.541772,73.8487341,378495,2050515,DEMO_WARD_02,DEMO Ward 02,38.811,0.1544,0.1873,8.57,48.31,0.08,6.936,367.64,555.53,14052.56,DEMO / SYNTHETIC DATA
